Make;Model;Displ;Cyl;Trans;Drive;Fuel;Year
CHEVROLET;Colorado;2.8;4;Auto-6;2WD;Diesel;2016
CHEVROLET;Colorado;2.8;4;Auto-6;4WD;Diesel;2016
CHEVROLET;Colorado;3.6;6;Auto-6;2WD;Gasoline;2016
CHEVROLET;Colorado;3.6;6;Auto-6;4WD;Gasoline;2016
CHEVROLET;Corvette;6.2;8;Man-7;2WD;Gasoline;2016
CHEVROLET;Corvette;6.2;8;SemiAuto-8;2WD;Gasoline;2016
CHEVROLET;Cruze;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.8;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.8;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited Eco;1.4;4;Auto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited Eco;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze Premier;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Equinox;2.4;4;Auto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Equinox;2.4;4;Auto-6;2WD;Gasoline;2016
CHEVROLET;Equinox;2.4;4;Auto-6;4WD;Ethanol/Gas;2016
CHEVROLET;Equinox;2.4;4;Auto-6;4WD;Gasoline;2016
CHEVROLET;Equinox;3.6;6;Auto-6;2WD;Gasoline;2016
CHEVROLET;Equinox;3.6;6;Auto-6;4WD;Gasoline;2016
CHEVROLET;Express 2500;6;8;Auto-6;2WD;Gasoline;2016
CHEVROLET;Express 3500;6;8;Auto-6;2WD;Gasoline;2016
CHEVROLET;Impala;2.5;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Impala;3.6;6;SemiAuto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Impala;3.6;6;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Impala Limited;3.6;6;Auto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Malibu;1.5;4;Auto-6;2WD;Gasoline;2016
CHEVROLET;Malibu;1.8;4;CVT;2WD;Gasoline;2016
CHEVROLET;Malibu;2;4;SemiAuto-8;2WD;Gasoline;2016
CHEVROLET;Malibu Limited;2.5;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;SS;6.2;8;Man-6;2WD;Gasoline;2016
CHEVROLET;SS;6.2;8;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Silverado 15;4.3;6;Auto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Silverado 15;4.3;6;Auto-6;4WD;Ethanol/Gas;2016
CHEVROLET;Silverado 15;5.3;8;Auto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Silverado 15;5.3;8;Auto-6;2WD;Gasoline;2016
CHEVROLET;Silverado 15;5.3;8;Auto-6;4WD;Ethanol/Gas;2016
CHEVROLET;Silverado 15;5.3;8;Auto-6;4WD;Gasoline;2016
CHEVROLET;Silverado 15;5.3;8;Auto-8;2WD;Gasoline;2016
CHEVROLET;Silverado 15;5.3;8;Auto-8;4WD;Gasoline;2016
CHEVROLET;Silverado 15;6.2;8;Auto-8;2WD;Gasoline;2016
CHEVROLET;Silverado 15;6.2;8;Auto-8;4WD;Gasoline;2016
CHEVROLET;Sonic;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Sonic;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Sonic;1.8;4;Man-5;2WD;Gasoline;2016
CHEVROLET;Sonic;1.8;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Sonic 5;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Sonic 5;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Sonic 5;1.8;4;Man-5;2WD;Gasoline;2016
CHEVROLET;Sonic 5;1.8;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Sonic 5 RS;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Sonic 5 RS;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Sonic RS;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Sonic RS;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Spark;1.4;4;CVT;2WD;Gasoline;2016
CHEVROLET;Spark;1.4;4;Man-5;2WD;Gasoline;2016
CHEVROLET;Spark EV;N/A;N/A;Auto-1;2WD;Electricity;2016
CHEVROLET;Suburban 1500;5.3;8;Auto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Suburban 1500;5.3;8;Auto-6;2WD;Gasoline;2016
CHEVROLET;Suburban 1500;5.3;8;Auto-6;4WD;Ethanol/Gas;2016
CHEVROLET;Suburban 1500;5.3;8;Auto-6;4WD;Gasoline;2016
CHEVROLET;Tahoe 1500;5.3;8;Auto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Tahoe 1500;5.3;8;Auto-6;2WD;Gasoline;2016
